campaign,adgroup,adProductName,productName,matchStatus,productIdStatus,imageStatus,totalCost,clicks,image
쇼핑검색_더도톰_모바일초대장,모바일초대장_돌잔치초대장,모바일초대장_돌잔치초대장,모바일 돌잔치 초대장 간편수정 셀프 제작,6월 광고명 미매칭,미확인,확보,436,2,https://shopping-phinf.pstatic.net/MjAyNjA3MDlfOTEg/MDAxNzgzNTY0MTUxMjE3.lSyKrNp5gXG--qWA5VCQzlaJ2ApVxZc7q3eyQ7_YVa4g.-IHi2Rxl4Pcbm08gioBstkwM4wUHvAywMJBNaAWPugog.PNG/1359508-8531fded-bb00-4717-b88c-b6b377896b80.png
쇼핑검색_더도톰_모바일초대장,모바일초대장_모바일초대장,모바일초대장_모바일초대장,모바일 초대장 돌잔치 돌초대장 셀프 만들기,6월 광고명 미매칭,미확인,확보,0,0,https://shopping-phinf.pstatic.net/MjAyNjA3MDlfNTIg/MDAxNzgzNTY0NTU1MDA4.lBnzP6sI0K8smtmYi-LnX1PtKEwGiL-nRvJh0hvSVh0g.5ITDJi3Sm7McDU3OqCB6hAuhNJtM_MhDUZc10tWaCpQg.PNG/1359508-0c6cd6cb-431c-412b-80b2-e563ebfc4d81.png
